idConsulta,preguntas_similares,Posicion
34,"Que es un alumno vocacional?
¿Qué significa ser un estudiante de carrera en una facultad universitaria?
¿Quién es un estudiante de opción en el contexto académico de una institución educativa?",1
35,"Que derechos tiene un alumno vocacional?
¿Qué prerrogativas tiene un estudiante profesional?
¿Qué facultades tiene un estudiante técnico?",3
36,"Como puede aprobar una asignatura un alumno regular?
Cómo puede aprobar un curso un estudiante matriculado?
Cómo puede obtener aprobado un módulo un alumno inscrito.",6
37,"Como puede aprobar una materia un alumno libre?
Cómo puede aprobar un curso un estudiante independiente?
Cómo puede obtener aprobación en una asignatura un alumno no matriculado?",1
38,"Como se expresa la calificación final de una asignatura?
Cómo se determina la nota final de un curso académico?
Cómo se calcula el puntaje final de una materia universitaria?",1
39,"Quienes pueden solicitar equivalencias de algunas asignaturas?
Estudiantes que desean solicitar equivalencias de algunas asignaturas
Personal académico que necesita evaluar solicitudes de equivalencia de asignaturas",3
40,"Que tipo de ámbitos son los consejos de carrera?
¿Qué categorías de áreas abarcan los comités de orientación académica?
¿Qué tipos de espacios cubren los consejos de carrera?",-1
41,"Que datos contienen los anuncios?
¿Qué información incluyen los boletines?
¿Qué detalles se publican en los comunicados?",1
42,"Quien esta a cargo de la difusion del llamado a concurso?
¿Quién es responsable de la publicación del anuncio de concurso?
¿A quién corresponde el envío del comunicado para convocar un concurso?",1
43,"Cual es el periodo de inscripcion a la convocatoria?
¿Cuándo se abre el plazo para solicitar admisión en la convocatoria?
¿Qué fechas son relevantes para la inscripción a la convocatoria?",2
44,"Como realizo mi solicitud de inscripcion?
Cómo hago la tramitación para matricularme en la facultad?
Cómo presento mi postulación para ingresar a la universidad?",4
45,"Cuando presento el planificación de la cátedra?
Cuando presento el proyecto de la plaza docente?
Cuando presento el esquema de la asignatura?",2
46,"Puedo presentarme a mas de un concurso?
Puedo participar en más de una convocatoria?
Puedo inscribirme en varios procesos selectivos?",2
47,"Puede un apoderado intervenir en mis tramites?
Puede un tutor intervenir en mis procedimientos?
Puede un representante legal intervenir en mis asuntos?",1
48,"Como se designa al jurado?
Cómo se selecciona la comisión de examinadores?
Cómo se forma el panel de jueces?",1
49,"Como se compone el jurado?
¿Cómo está integrado el tribunal?
¿Qué miembros componen la junta?",-1
50,"Cuales son las causales de recusacion de un miembro del jurado?
¿Cuáles son los motivos para excluir a un miembro del panel de jueces?
¿Qué razones justifican la exclusión de un miembro del tribunal?",1
51,"Como evalúa el jurado al aspirante?
Cómo califica el panel de expertos al candidato?
Cómo determina la comisión evaluadora al postulante?",7
52,"Quienes participan en la deliberacion del jurado?
Miembros del panel de examinadores
Comités académicos",1
53,"Puede haber mas de un aspirante con el mismo merito?
Puede haber más de un candidato con la misma calificación?
Puede haber más de un postulante con igualdad de méritos?",1
54,"Que restricciones tiene un alumno pasivo?
¿Qué limitaciones enfrenta un estudiante inactivo?
¿Cuáles son los obstáculos que conoce un alumno ausente?",6
55,"Que podra realizar un alumno activo?
¿Qué actividades puede desarrollar un estudiante comprometido?
¿Qué acciones puede llevar a cabo un estudiante motivado?",-1
56,"Cuanto tiempo se mantiene la regularidad en una asignatura?
¿Hasta qué momento se garantiza la continuidad académica en un curso?
¿Qué plazo se establece para mantener el ritmo de estudio en una materia?",1
57,"De que consta la perdida de la regularidad?
¿En qué se traduce la pérdida de la condición académica?
¿Qué circunstancias determinan el incumplimiento del requisito estudiantil?",3
58,"Que esta habilitado a realizar un alumno libre?
¿Qué estudiante tiene derecho a solicitar una exención académica?
¿Quién puede beneficiarse de la dispensa de cursos obligatorios?",3
59,"En que momento se da a conocer la condiicon de cada alumno?
Cuándo es informada la situación académica de cada estudiante?
Cuándo se comunica el estado escolar de cada alumno?",-1
60,"Cuantos turnos de examenes finales se dictan por año lectivo?
¿Cuántas sesiones de exámenes finales se llevan a cabo durante cada período académico?
¿Qué número de períodos de evaluación final se establecen para cada ciclo escolar?",2
61,"Que contiene un acta de evaluacion?
Qué incluye un informe de evaluación?
Qué se registra en un documento de calificación?",3
62,"Como se lleva control de asignaturas correlativas?
Cómo se gestiona el seguimiento de cursos conexos?
Cómo se administra la supervisión de materias relacionadas?",1
63,"Con que categorias de docentes universitarios cuenta la Facultad?
Con qué tipos de profesores académicos cuenta la Facultad?
Con qué clases de personal docente se encuentra presente en la Facultad?",1
64,"Cuales son las normas para el dictado de clases?
¿Cuáles son los protocolos para la impartición de cursos?
¿Qué reglas se deben seguir en la enseñanza académica?",1
65,"Como se determina la condicion de los alumnos?
Cómo se establece la situación académica de los estudiantes?
Cómo se define el estado de los alumnos en la institución.",4
66,"Quienes estan habilitados a ingresar a la ensenanza de grado?
¿Quiénes tienen acceso a cursar programas de pregrado?
¿A quién se permite matricularse en carreras universitarias?",-1
67,"Cuales son los derechos del estudiante?
¿Qué beneficios legales gozan los alumnos en la institución académica?
¿Cuáles son los privilegios que corresponden a los estudiantes dentro de la comunidad universitaria?",-1
68,"Que requisitos se especifican para ser docente?
¿Qué condiciones académicas y profesionales deben cumplirse para ser profesor titular?
¿Cuáles son los criterios establecidos para ser profesorado?",-1
69,"Cuales son las condiciones para acceder a la formación de posgrado?
¿Qué requisitos deben cumplir los estudiantes para ser admitidos en programas de maestría o doctorado?
¿Cuáles son los criterios para obtener acceso a cursos de especialización o diplomados?",5
70,"De que se encarga el estado provincial?
¿Qué responsabilidades tiene la administración pública en la gestión de la facultad universitaria?
¿A qué áreas del gobierno provincial está asignada la supervisión y regulación de los procedimientos académicos?",-1
71,"Cuales son los objetivos de la educacion superior?
¿Cuáles son los fines de la enseñanza superior?
¿Qué propósitos tiene la formación académica?",1
72,"Cuales son las modalidades del sistema educativo?
¿Cuáles son los métodos del plan de estudios?
¿Qué formas tiene el currículo académico?",2
73,"Cuales son los organos del gobierno universitario?
¿Qué estructuras componen la administración universitaria?
¿Cuáles son las instancias que dirigen la vida académica y administrativa de la institución?",1
74,"Quienes integran el consejo superior?
Miembros que componen la junta directiva
Comités que forman parte del cuerpo administrativo",-1
75,"Quienes integran el consejo directivo?
Miembros del comité ejecutivo
Composición del órgano de gobierno",2
76,"Cuales son las funciones del consejo directivo?
¿Cuáles son los cometidos del órgano colegiado?
¿Qué responsabilidades tiene el cuerpo administrativo?",-1
77,"Cuales son los requsitos para ser decano de la Facultad?
¿Qué condiciones deben cumplir los candidatos para ocupar el cargo de director de la Facultad?
¿Cuáles son los requisitos necesarios para ser titular de la cátedra de la Facultad?",2
78,"Cuales son las funciones del decano?
¿Cuáles son los deberes y responsabilidades del decano?
¿Qué tareas y obligaciones tiene el decano en la universidad?",-1
79,"Que categorias de estudiantes reconoce la facultad?
¿Qué tipos de alumnos admite la facultad?
¿Cuáles son los grupos de alumnado que la facultad tiene en cuenta?",3
80,"Cuales son las formas de realizar la docencia?
¿Qué métodos se utilizan para impartir conocimiento en la institución académica?
¿Cómo se lleva a cabo el proceso educativo en la universidad?",2
81,"De que consta la docencia regular?
¿Qué elementos componen la enseñanza ordinaria?
¿Cuáles son los componentes de la instrucción habitual?",1
82,"De que consta la docencia libre?
¿Qué elementos componen la enseñanza libre?
¿Cuáles son los componentes de la educación libre?",1
83,"De que manera se fomenta el desarrollo de la investigacion?
Cómo se promueve el avance en los estudios y proyectos académicos?
Cómo se estimula la creación de conocimiento y nuevas ideas dentro del entorno universitario?",1
84,"Cual es el fondo universitario?
¿Cuál es la reserva financiera de la institución educativa?
¿Qué cantidad de dinero se destina a la administración y gestión de la universidad?",1
85,"Que cargos son incompatibles?
Qué funciones son incompatibles?
Qué puestos son incompatibles?",2
86,"Cuales son las medidas ante la ausencia de un docente?
¿Qué acciones se toman en caso de faltas de profesores?
¿Cómo se abordan los vacíos académicos causados por la inasistencia de un instructor?",1
87,"Cual es el objetivo de la tesis de cada alumno?
¿Cuál es el propósito de la investigación académica para cada estudiante?
¿Qué es lo que se busca lograr con la presentación de la investigación doctoral en nuestra institución?",-1
88,"Que es la tesis del estudiante?
¿Cuál es el propósito de la investigación académica del estudiante?
¿Qué es el trabajo final de investigación del alumno?",1
89,"Cual es el plazo para la presentacion de la tesis?
¿Cuándo debe ser entregada la investigación doctoral?
¿En qué fecha se deben cumplir los requisitos para la defensa de la tesis?",3
90,"Qué obligaciones tienen los padres o tutores de los alumnos ?
Qué responsabilidades asumen los progenitores o custodios de los estudiantes?
Qué deberes cumplen los representantes legítimos de los alumnos?",1
91,"Que derechos tienen los padres o tutores de los alumnos ?
¿Qué prerrogativas tienen los progenitores o representantes legales de los estudiantes?
¿Cuáles son los derechos y deberes de los encargados de la custodia de los alumnos?",1
92,"Que deberes tienen los trabajadores de la educación?
¿Qué responsabilidades tienen los docentes en la institución académica?
¿Cuáles son los deberes y obligaciones de los profesores universitarios?",3
93,"Cuales son los objetivos de la educación especial?
¿Cuáles son los fines de la enseñanza especializada?
¿Qué propósitos tiene el programa de educación para estudiantes con necesidades especiales?",2
94,"Cuales son las funciones de las universidades?
¿Cuáles son los cometidos de las instituciones educativas?
¿Qué tareas cumplen las casas de estudios?",-1
95,"Cuales son los objetivos de la educación de adultos?
¿Cuáles son los fines de la capacitación para adultos?
¿Qué propósitos tiene el programa de educación continua?",1
96,"Que tiene la formación docente como objetivos?
Qué propósitos tiene la capacitación pedagógica?
Qué fines tiene el entrenamiento académico?",2
97,"Cuales son los derechos de los educandos?
¿Qué beneficios tienen los estudiantes en la institución académica?
¿Cuáles son los privilegios de los alumnos dentro del campus universitario?",5
98,"Que se verifica en la evaluación  de la calidad en el sistema educativo?
¿Qué aspectos se evalúan para garantizar la excelencia académica dentro del entorno universitario?
¿Cuáles son los indicadores que se utilizan para medir y mejorar la calidad de la educación ofrecida por la institución?",1
99,"Qué tiene como objetivos la educación de posgrado?
¿Cuáles son los fines principales de la capacitación avanzada en la institución?
¿A qué se dirigen los programas de formación superior?",-1
100,"Cuales son los deberes de los trabajadores de la educación?
¿Cuáles son las responsabilidades de los docentes y personal académico en la institución universitaria?
¿Qué obligaciones tienen los profesores y personal administrativo dentro del marco de la educación superior?",4
101,"Qué verificará la evaluación de la calidad en el sistema educativo
¿Qué aspectos del rendimiento académico se analizarán durante la revisión de la eficacia institucional?
¿Cuál es el proceso que seguirá para determinar la idoneidad del currículo y los métodos pedagógicos?",1
102,"Qué deberá hacer el El Poder Ejecutivo nacional, a través del ministerio específico?
Qué deberá realizar el Gobierno nacional, mediante la secretaría correspondiente?
Qué deberá ejecutar el Estado nacional, a través de la dirección ministerial relevante?",1
103,"Cuál es la misión del Consejo Federal de Cultura y Educación?
¿Cuál es el propósito del Órgano Superior de Gestión Académica?
¿Cuál es el objetivo principal del Directorio Universitario?",-1
104,"Cuáles son las funciones del Consejo Federal de Cultura y Educación?
¿Qué cometidos tiene el Consejo Federal de Cultura y Educación?
¿Cuál es la responsabilidad principal del Consejo Federal de Cultura y Educación?",1
105,"Cuáles son los organos que se compone el Consejo Federal de Cultura y Educación?
¿Qué instituciones componen el Consejo Federal de Cultura y Educación?
¿Cuál es la composición del órgano rector del Consejo Federal de Cultura y Educación?",2
106,"De que dos Consejos Consultivos recibirá apoyo el Consejo Federal de Cultura y Educación?
De qué dos Asesorías Recibirá asistencia el Consejo Federal de Cultura y Educación?
De qué dos Juntas Asesores recibirá respaldo el Consejo Federal de Cultura y Educación?",1
107,"Qué atribuciones tienen las autoridades componententes de las provincias y de la municipalidad de la Ciudad de Buenos Aires?
Qué competencias tienen los organismos representativos de las provincias y del gobierno local de la Ciudad Autónoma de Buenos Aires?
Qué facultades tienen las entidades gubernamentales de las provincias y de la ciudad autónoma de Buenos Aires en relación con la universidad?",2
108,"Con que finalidad financia el Poder Ejecutivo nacional los programas especiales de desarrollo educativo? 
¿A qué propósito destina el Poder Ejecutivo nacional los fondos para los programas de capacitación académica?
¿Con qué objetivo asigna el gobierno nacional los recursos para los proyectos de mejora educativa?",1
109,"Que acordaron El Ministerio de Cultura y Educación y las autoridades educativas de las provincias y de la Municipalidad de la Ciudad de Buenos Aires con el seno del Consejo Federal de Cultura y Educación?
Qué acuerdo alcanzaron El Ministerio de Cultura y Educación y las autoridades educativas de las provincias y de la Municipalidad de la Ciudad de Buenos Aires con el seno del Consejo Federal de Cultura y Educación?
Qué convenio firmaron El Ministerio de Cultura y Educación y las autoridades educativas de las provincias y de la Municipalidad de la Ciudad de Buenos Aires con el seno del Consejo Federal de Cultura y Educación?",3
110,"El presupuesto de la administración pública nacional 1993 sera inferior a cual presupuesto?
El presupuesto del gobierno central 1993 sera menor que cuál presupuesto?
El presupuesto del Estado 1993 será más bajo que cuál presupuesto?",1
111,"Las disposiciones de esta ley son aplicables a todos los niveles y regímenes especiales educativos con excepción cuales artículos?
Las disposiciones de esta normativa son aplicables a todos los grados y modalidades académicas con exclusión de cuáles estatutos?
Las disposiciones de esta regulación son aplicables a todos los cursos y programas educativos especiales con excepción de qué preceptos?",5
112,"Que derechos tienen los padres o tutores de los alumnos/as?
¿Qué prerrogativas tienen los progenitores o representantes legales de los estudiantes?
¿Cuáles son los derechos y deberes de los encargados de la tutela de los alumnos en la institución universitaria?",1
113,"Que obligaciones tienen los padres o tutores de los alumnos/as?
¿Qué responsabilidades asumen los progenitores o encargados legales de los estudiantes?
¿Cuáles son las obligaciones que recaen sobre los representantes legales de los alumnos?",1
114,"Cuales derechos de todos los trabajadores/as de la educación del ámbito estatal y privado se resguardarán?
Cuales prerrogativas de todos los docentes y personal administrativo de la educación pública y privada se protegerán?
Cuales garantías legales de todos los empleados de la educación pública y privada se preservarán?",1
115,"Cuales son los deberes de los trabajadores de la educación?
¿Cuáles son las responsabilidades de los docentes y personal académico en la institución universitaria?
¿Qué obligaciones tienen los profesores y personal administrativo dentro del marco de la educación superior?",4
116,"Que deberán garantizar el Ministerio de Cultura y Educación de la Nación, las provincias y la Municipalidad de la Ciudad de Buenos Aires?
Qué deberán asegurar el Departamento de Educación Nacional, los Gobiernos Provinciales y el Concejo Deliberante de la Ciudad Autónoma de Buenos Aires?
Qué deberán cumplir con el Ministerio de Cultura y Educación de la Nación, las provincias y la Municipalidad de la Ciudad de Buenos Aires?",3
117,"Cuales son las funciones del Responsible?
¿Cuáles son las responsabilidades del Responsable?
¿Qué tareas realiza el Encargado?",-1
118,"Que confeccionará para cada carrera de cada sede y/o subsede el Departamento Personal de la Facultad?
El equipo administrativo responsable de personal será quien lo prepare.
La oficina encargada de recursos humanos elaborará este documento.",2
119,"Cómo será la emisión del voto?
Cómo se realizará la distribución de los votos?
Cómo se llevará a cabo el proceso de asignación de votaciones?",7
120,"Durante cuantos días sera la emisión de votos?
Durante cuántas jornadas se realizará el proceso de sufragio?
Durante cuánto tiempo estará disponible la opción para emitir voto.",6
121,"Que deberá presentar para la emisión del voto el sufragante?
¿Qué documento debe aportar el elector para que se le permita emitir su voto?
¿Cuál es el requisito documental que debe cumplir el votante para participar en el proceso electoral?",2
122,"Cuáles seran las funciones de los consejos de carrera?
¿Qué cometidos tendrán los comités de orientación académica?
¿Qué responsabilidades asumirán los grupos de seguimiento estudiantil?",5
123,"Cuantos años duraran en sus funciones los representantes del Consejo de carrera?
¿Cuánto tiempo permanecerán en su cargo los miembros del Comité Académico?
¿Durante cuántos años ejercerán influencia los delegados del Foro Estudiantil?",1
124,"Cuales son los objetivos de la Educación Especial?
¿Cuáles son los fines de la Formación Educativa Especializada?
¿Qué propósitos tiene el Programa de Atención Educativa Especial?",2
125,"Cuales son los objetivos de la Educación de Adultos?
¿Cuáles son los fines de la Formación Continua?
¿Qué propósitos tiene el Programa de Educación para Jóvenes y Adultos?",2
126,"Cuales son las funciones de las autoridades educativas oficiales?
¿Cuáles son los roles de las instituciones académicas responsables?
¿Qué tareas cumplen las administraciones universitarias designadas?",-1
127,"Cuales son las obligaciones del El Estado nacional, las provincias y la Municipalidad de la Ciudad de Buenos Aires?
¿Cuáles son los deberes del Gobierno federal, las jurisdicciones provinciales y el Ayuntamiento de la Ciudad Autónoma de Buenos Aires?
¿Qué responsabilidades asumen el Poder Nacional, las Provincias y el Municipio de la Ciudad Autónoma de Buenos Aires?",3
128,"Cuales son los derechos de los educandos?
¿Qué beneficios tienen los estudiantes en la institución académica?
¿Cuáles son los privilegios de los alumnos dentro del campus universitario?",5
129,"Cuales son los objetivos de la formacion docente?
¿Cuáles son los fines de la capacitación pedagógica?
¿Qué propósitos tiene el desarrollo profesional del personal académico?",7
130,"Cual es el plazo sugerido para la presentacion del trabajo a partir de la presentacion de la propuesta?
¿Cuál es el período recomendado para la entrega del proyecto después de la presentación de la idea inicial?
¿Qué fecha límite se sugiere para la presentación final del trabajo luego de la presentación de la propuesta?",1
131,"Quienes son los integrantes del jurado de la tesis
¿Quiénes forman parte del panel de examinadores de la tesis?
¿Cuáles son los miembros del comité revisor de la tesis?",1
132,"Por donde debe ser avisada la fecha de presentación de la tesis de licenciatura? 
¿A través de qué canales administrativos debe ser comunicada la fecha límite para la entrega de la memoria final de los estudiantes de pregrado?
¿Cómo y a quién se debe notificar oficialmente la fecha de conclusión del trabajo de investigación de los graduados?",1
133,"Por quien sera establecido el grado académico o profesional mínimo de los asesores de tesis?
Por qué persona será determinado el título académico o profesional mínimo de los guías de investigación?
Por quién se establecerá la calificación mínima profesional para los directores de proyectos finales?",1
134,"Por quien sera establecido el el nombre y contenidos específicos de cada capítulo
Por quién será determinado el título y los detalles precisos de cada sección
Por qué persona o comité será definido el encabezado y la información específica para cada parte del reglamento",1
135,"Quien es la responsable de administrar el proceso de tesis para los alumnos inscriptos en las asignaturas pertienentes y/o candidatos al grado en proceso de titulación?
¿Quién es el encargado del seguimiento y supervisión del proceso de investigación para estudiantes matriculados en cursos relacionados y aspirantes a la graduación?
¿A quién corresponde la gestión del procedimiento de tesis para los alumnos inscritos en materias afines y candidatos al título en trámite de convalidación?",2
136,"Quienes pueden ejercer la docencia libre?
Profesores que tienen permiso para enseñar sin restricciones
Personal académico con autorización para impartir cursos",1
137,"Cuales son las funciones del consejo de investigadores?
¿Cuáles son los cometidos del comité de investigación?
¿Qué responsabilidades tiene el grupo de expertos en investigación?",2
138,"Que se requiere para ser electo Responsable de Carrera?
¿Qué condiciones son necesarias para ser elegido como Director de Carrera?
¿Cuáles son los requisitos para ser designado Coordinador Académico?",1
139,"Cuales son los bienes de la universidad?
¿Qué propiedades posee la institución académica?
¿Cuáles son los activos de la facultad?",-1
140,"Que constituye el fondo univsersitario?
¿Qué elementos componen la reserva universitaria?
¿Cuáles son los componentes del patrimonio institucional?",1
141,"Que se requiere para ser electo como representantes docentes en el consejo de carrera?
¿Qué condiciones deben cumplirse para ser elegidos como voceros académicos en la junta de estudios?
¿Cuáles son los requisitos necesarios para ser seleccionados como delegados profesores en el consejo universitario?",1
142,"Para que será utilizado el fondo universitario?
¿Para qué propósito se destinará la reserva presupuestaria de la institución?
¿Cómo se utilizarán los recursos financieros asignados a la facultad?",3
143,"Para que no puede ser utilizado el fondo universitario?
Para qué fines no se permite utilizar los recursos institucionales?
Para qué propósitos no está permitido acceder al patrimonio académico?",3
144,"En qué consiste la docencia libre?
¿Qué es lo que caracteriza a un curso impartido por profesores libres?
¿Cómo se define y se lleva a cabo el proceso de enseñanza en entornos académicos donde los profesores tienen libertad para diseñar sus propios cursos?",1
145,"Quienes podran elegir a los docentes integrantes del consejo de carrera?
Quienes podrán seleccionar a los profesores miembros del consejo académico?
Quienes podrán designar a los educadores integrantes del comité de carrera?",2
146,"A qué le presta preferente atención la universidad?
A qué aspectos prioritarios se enfoca la institución académica?
A qué cuestiones principales dedica la universidad su atención principal?",6
147,"Qué se requiere para ser consejero estudiante?
¿Qué habilidades y cualificaciones son necesarias para ser asesor académico?
¿Cuáles son los requisitos para ser tutor universitario?",3
148,"Qué fomenta la universidad como centro de creación de conocimientos?
¿Qué impulsa la universidad como institución de investigación y desarrollo académico?
¿Qué estimula la universidad como espacio de innovación intelectual?",1
149,"Qué recibirá el Responsable de carrera electo como titular?
¿Qué beneficios obtendrá el Director de carrera elegido por votación?
¿Qué prerrogativas tendrá el Jefe de carrera escogido mediante elección?",2
150,"Qué sucede con un docente que falta a la cuarta parte de sus clases fijadas por el horario oficial sin causa?
Qué ocurre con un profesor que falta a la cuarta parte de sus sesiones programadas por el calendario académico sin justificación?
Qué consecuencias tiene para un instructor no asistir a la cuarta parte de sus lecciones previstas en el plan de clases oficial sin motivo?",1
151,"Cuál es la norma General?
Qué es la política principal?
Qué es la regla fundamental?",-1
152,"Que propondra cada Unidad Académica mediante Resolución del Consejo Directivo al Consejo Superior?
¿Qué propuestas presentará cada Facultad a través de una decisión del Consejo Directivo para su consideración por parte del Consejo Superior?
¿Qué planes y recomendaciones enviará cada Departamento a ser aprobados por el Consejo Directivo y luego remitidos al Consejo Superior?",1
153,"De quien estará a cargo la difusión del llamada concurso?
De quién será responsable la publicación del anuncio de concurso?
De quién se encargará la comunicación oficial sobre el proceso de selección.",1
154,"Dentro de cuantos dias podra publicar el Rectorado una vez aprobado el llamado a concurso?
Dentro de cuantos días puede hacerlo la Dirección Universitaria después de que se apruebe el anuncio del concurso.
Dentro de cuantos días podrá difundir la información el Decanato tras la aprobación del aviso para postular.",1
155,"Que contendrán sintéticamente los anuncios?
Noticias académicas y administrativas que se publicarán en los comunicados
Información sobre eventos, cursos y actividades universitarias que se transmitirán a través de los boletines.",1
156,"Cuales son las condiciones de los aspirantes?
¿Qué requisitos deben cumplir los solicitantes?
¿Cuáles son los criterios para los postulantes?",1
157,"Cual es el plazo de inscripcion
¿Cuál es la fecha límite para registrar mi matrícula?
¿En qué momento debe presentarse la solicitud de admisión?",-1
158,"Donde es la oficina de Inscripción?
¿Dónde se encuentra la Secretaría de Admisión?
¿En qué lugar está ubicada la Oficina de Registro?",2
159,"Cuáles son las solicitudes de Inscricpión?
¿Qué requisitos hay para la Matrícula?
¿Cuál es el procedimiento para la Inscripción?",4
