idConsulta,Consulta,Posicion
208, Cuales son los objetivos del ciclo polimodal?,7
209, Que tiene como objetivos la educación inicial básica?,2
210, Como ha de ser el sistema educativo?,1
211, Que debe asegurar el sistema educativo a todos los habitantes del país?,2
212, Qué derechos deberá respetar el estado nacional?,1
213, De quien son responsabilidad las acciones educativas?,1
214, Qué responsabilidad tiene el estado nacional?,2
215, Que funciones tiene el consejo de carreras?,-1
216, Qué pasa en caso de empate?,1
217, Cuando se realiza el escrutinio?,6
218, Qué debe hacerse para ser oficializada una postulación?,1
219, Como es la emisión de voto?,1
220, Como se constituye la junta electoral?,-1
221, Como es la elección de responsables?,7
222, Cuales son las funciones del responsable?,3
223, Como es la actividad del responsable suplente?,-1
224, Cuanto tiempo duran los responsables en sus funciones?,1
225, Que se requiere para ser electo como responsable ?,-1
226, Cuantos responsables hay por cada carrera?,-1
227, Con cuanta antelación se presenta la tesis?,-1
228, Qué normas se deben tener en cuenta para la presentación de tesis?,1
229, Que funciones tiene la secretaría académica?,4
230, Quienes pueden fungir como asesores de tesis?,1
231, Qué tiene como responsabilidad el director de tesis?,-1
232, Cuales son las funciones del director de tesis?,-1
233, Que pasa cuando el alumno decide cambiar de tema?,4
234, Qué produce un estudiante que elabora una tesis en la universidad Autónoma de Entre Ríos?,-1
235, Qué se observa para la aprobación de la propuesta de tesis?,2
236, Quien establece el número máximo de integrantes para la presentación de la tesis?,2
237, Cuales son los tipos principales de tesis?,-1
238, Que tiene por finalidad la tesis?,3
239, Con quien se acuerda el plazo de entrega del trabajo final?,6
240, Quien resuelve la incorporación de adscriptos a una cátedra o proyecto?,1
241, Qué constituye la condición de adscripto?,9
242, Que puede hacer el consejo directivo?,-1
243," Que tienen a cargo el rector, decano y los directores?",-1
244, Que se entiende por bienes de la universidad?,2
245, Que es lo que fomenta la universidad,1
246, Que tiene como funciones el consejo de investigadores?,-1
247, Que condiciones de realización de docencia reconoce la universidad?,7
248, Quien puede ser alumno vocacional?,4
249, Cual es el objetivo de instituir becas?,2
250, Que tienen por funciones los profesores titulares y asociados?,10
251, Cual es la definicion del monto de inversion publica en educacion? ,1
252, A que se dedica El Consejo Federal de Cultura y Educación?,4
253, Que debera realizar el Porder Ejecutivo Nacional?,3
254, De que se deben encargar los padres o tutores de los alumnos/as?,1
255, Que proposito tiene la universidad?,-1
256, Que fin tiene la Educacion Inicial?,-1
257, Que nos asegura el sistema educativo a todos los habitantes del pais?,3
258, Como se conforma la estructura del sistema educativo?,-1
259, Quien controla el cumplimienot de la politica educativa?,9
260, Como se elige a los docentes integrantes del consejo de carreras?,-1
261, De que manera se oficializa una postulacion?,1
262, Quienes seran electores?,-1
263, Como se elige el Responsable de carrera?,5
264, Cuales son los requisitos para ser electo Responsable de Carrera?,3
265, Quien administra el proceso de la tesis?,3
266, Que funcion cumplen los asesores de tesis?,-1
267, Como se realizan avances y modificaciones en el proyecto original de investgacion y tesis?,-1
268, Puede el alumno cambiar el tema de su tesis?,-1
269, Que tipo de tesis pueden desarrollar los alumnos?,-1
270, Cual es el objetivo de la tesis?,5
271, Que sanciones pueden sufrir los Estudiantes de la Universidad por causas de inconducta? ,1
272, Que cargos tienen incompatibilidades en su ejercicio?,-1
273, Quien nombra y remueve al personal de la Facultas?,7
274, Para que se permite utilizar el fondo Universitario?,6
275, Para que no se permite utilizar el fondo Universitario?,3
276, Como se constituyen los bienes de la facultad?,1
277, Como se debe orientar la enseñanza?,2
278, A que esta habilitado un alumno vocacional?,2
279, Aque se debe la entrega becas la Universidad?,2
280, Que elige el Cuerpo de Estudiantes?,6
281, Cuales son los requisitos para ser Consejero Estudiante?,1
282, Quien esta a cargo de propender los fines del Estatuto?,1
283, Que funciones tendran los profesores titulares y asociados?,4
284, Quien puede gozar de un año de licencia para realizar actividades academicas?,2
285, Como se garantiza la actualizacion y perfeccionamiento del cuerpo docente?,2
286, Como se elige el Decano y Vicedecano?,1
287, Como se procede en caso que ningún candidato alcanzare tal mayoría absoluta de votos?,4
288, Cuales son obligaciones de la facultad?,-1
289, Cuales son las diferentes modalidades del sistema educativo?,-1
290, Como se debe proceder para la creación de nuevas carreras o cambios en las ya existentes?,10
291, Cuales son los niveles del Sistema Educativo Provincial?,-1
292, Que carateristicas tiene el Sistema Educativo Provincial?,-1
293, Mediante que propuestas el Estado Provincial asegura la obligatoriedad?,7
294, Que abarca la obligatoriedad escolar?,1
295, Como se finanza el sistema educativo?,-1
296, Cual es la responsabilidad principal del Estado Provincial?,-1
297, Que sucede cuando una carrera no obtiene su acreditacion necesaria?,1
298, Quienes seran los organos de coordinacion y consulta del Sistema Universitario?,1
299, Que atribuciones tiene la autonomia academica e institucional?,4
300, Cuales son los deberes de los docentes de las instituciones estatales de educación superior?,1
